Name	ConceptType	#Genes	Coeff	OddsRatio	P-Value	FDR	Direction	SigGenes
Alpha adrenergic receptor signaling pathway	Panther Pathway	19	-0.31619964344506	0.140147916895881	2.66867457377736E-5	0.00208156616754634	down	11548,  18753,  18798,  22317
GABA-B receptor II signaling	Panther Pathway	34	-0.166684718030543	0.354913848742833	0.0294857157894804	0.278979275394492	down	11514,  12291,  242425,  432530
TGF-beta signaling pathway	Panther Pathway	90	-0.109733126745984	0.505630871871682	0.0376241939208263	0.278979275394492	down	12159,  12705,  14226,  21812,  21892,  26419,  66922
p53 pathway feedback loops 2	Panther Pathway	45	-0.140397365768808	0.417899374497899	0.0449219939826669	0.278979275394492	down	11920,  12447
FGF signaling pathway	Panther Pathway	106	-0.11670562958986	0.484189097729105	0.0168090432886157	0.278979275394492	down	18753,  26419
Inflammation mediated by chemokine and cytokine signaling pathway	Panther Pathway	178	0.0849971155371588	1.69591727993966	0.0239978133928456	0.278979275394492	up	11459,  12777,  12833,  140781,  17888,  18019,  18797,  22371,  224129,  57260,  74055
Ubiquitin proteasome pathway	Panther Pathway	42	-0.14969941940214	0.394426201693709	0.0358317901103165	0.278979275394492	down	107568
Angiogenesis	Panther Pathway	152	-0.0884696383525875	0.577062828047901	0.0369251617522696	0.278979275394492	down	109270,  18479,  18753,  20378,  21416,  21687,  26419
Synaptic vesicle trafficking	Panther Pathway	23	-0.209154839425899	0.272582118244416	0.0136869737945426	0.278979275394492	down	20907,  20980,  22249,  22317,  54525
5HT3 type receptor mediated signaling pathway	Panther Pathway	14	-0.218547461007254	0.25712657102408	0.0370710715913599	0.278979275394492	down	20908,  22317,  223604
B cell activation	Panther Pathway	54	-0.129893506770035	0.446088802023433	0.046496545899082	0.278979275394492	down	18753,  26419,  57257
Cholesterol biosynthesis	Panther Pathway	11	-0.27736450982746	0.178402734865773	0.00720508864189469	0.278979275394492	down	208715,  319554
T cell activation	Panther Pathway	71	-0.118925327714324	0.477555782105552	0.0412522202987174	0.278979275394492	down	17444,  18479,  26419,  57257
Axon guidance mediated by netrin	Panther Pathway	24	-0.174099658987011	0.338930180285698	0.0501830056264196	0.279591031347195	down	210801,  69581
Integrin signalling pathway	Panther Pathway	149	0.0773237001138444	1.61694164729456	0.0585583069746009	0.304503196267925	up	107581,  109711,  11472,  12815,  12833,  12840,  12841,  16402,  170736,  192176,  22330,  225341,  329941
EGF receptor signaling pathway	Panther Pathway	111	-0.086870170873578	0.582827472230267	0.0749306832165662	0.355155978832164	down	18753,  26419,  66922
Ionotropic glutamate receptor pathway	Panther Pathway	40	-0.130882120860894	0.443356501737889	0.0806932081743122	0.355155978832164	down	140919,  22317,  243961
DNA replication	Panther Pathway	26	0.143951507560843	2.4463624443176	0.0819590720381917	0.355155978832164	up	15077,  319151
Toll receptor signaling pathway	Panther Pathway	41	-0.127084313021657	0.453945014874471	0.0877947029712235	0.360420359566075	down	142980,  19225,  26419
